# 579 Particles
   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
     10350   1.035         -0.0030874982   0.1256953     -0.015189718    0.12664742     234.30084      19.249991     -2155.8806     -2155.8806    
     10400   1.04          -0.0028245645   0.12605956    -0.015873514    0.12708642     230.9515       19.004698     -2156.1259     -2156.1259    
     10450   1.045         -0.0026802485   0.12596659    -0.016681654    0.12709462     227.70695      18.819347     -2156.3112     -2156.3112    
     10500   1.05          -0.002483195    0.12632752    -0.017161587    0.12751208     224.2478       18.609076     -2156.5215     -2156.5215    
     10550   1.055         -0.0023555815   0.1260657     -0.016513625    0.1271645      220.00237      18.434752     -2156.6958     -2156.6958    
     10600   1.06          -0.0027601063   0.12629121    -0.016482557    0.12739216     217.97034      18.271081     -2156.8595     -2156.8595    
     10650   1.065         -0.0013497138   0.12675691    -0.016028753    0.12777346     217.41443      18.094213     -2157.0363     -2157.0363    
     10700   1.07          -0.00091573355  0.12734758    -0.015654569    0.12830943     214.53083      17.939778     -2157.1908     -2157.1908    
     10750   1.075         -0.0016212743   0.12730623    -0.015592089    0.12826776     210.09625      17.745119     -2157.3854     -2157.3854    
     10800   1.08          -0.0017783539   0.12783567    -0.016210829    0.12887169     205.3821       17.572761     -2157.5578     -2157.5578    
     10850   1.085         -0.0014662023   0.12864735    -0.016655055    0.12972926     202.14374      17.386091     -2157.7445     -2157.7445    
     10900   1.09          -0.0017495499   0.12933372    -0.017143261    0.13047668     200.87688      17.230385     -2157.9002     -2157.9002    
     10950   1.095         -0.0023717106   0.12971357    -0.016330196    0.13075897     199.74003      17.042385     -2158.0882     -2158.0882    
     11000   1.1           -0.0019258073   0.13100202    -0.016582492    0.13206141     200.87826      16.835606     -2158.295      -2158.295     
     11050   1.105         -0.0015590097   0.13114543    -0.016800906    0.13222642     201.33139      16.668623     -2158.4619     -2158.4619    
     11100   1.11          -0.0013080529   0.13124308    -0.017440811    0.13240332     199.96816      16.526348     -2158.6042     -2158.6042    
     11150   1.115         -0.0023124303   0.13178218    -0.017446585    0.13295215     197.06652      16.332752     -2158.7978     -2158.7978    
     11200   1.12          -0.0023901049   0.13245486    -0.018004435    0.13369429     196.27362      16.174401     -2158.9562     -2158.9562    
     11250   1.125         -0.001469153    0.1324914     -0.018390073    0.13376967     194.49037      16.038092     -2159.0925     -2159.0925    
     11300   1.13          -0.00078934283  0.13264797    -0.017700722    0.13382609     191.9655       15.857693     -2159.2729     -2159.2729    
